name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
توب فيس احمر خدود بيكد تشويس - 003,Topface,58,23.20,4.9,77,أحمر خدود,Not Available,بودرة
كونسيلر سكين لوفين سينسيتيف من ايسنس,essence,18,15.30,5,61,خافي عيوب,حساسة,كريمي
كونسيلر خافي عيوب 16 ساعة كامو من ايلف,Elf,59,53.10,5,4,خافي عيوب,جافة - دهنية - مختلطة,سائل
كونسيلر خافي عيوب هيلثي ميكس كلين من برجوا,Bourjois,79.01,51.36,4.9,33,خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,كريمي
قلم تحديد الشفاه لاستينج فينيش من ريميل لندن,Rimmel London,28,21,5,36,تحديد الشفاه,Not Available,قلم - كريمي
مجموعة احمر خدود وبرونز قيرلز قيت اواي تريو من ذا بالم,theBalm Cosmetics,174,69.60,4.9,419,أحمر خدود - تسمير,Not Available,بودرة
ميك اوفر22 مجموعة كنتور وخافي عيوب كموفلاج,Make Over 22,56.25,42.18,0,0,خافي عيوب - كنتور,Not Available,كريمي
ريل تكنيك اسفنجة ميركل باودر دو - قطعتين,Real Techniques,68,0,5,1,Not Available,Not Available,Not Available
سيسلي باريس قلم هايلايتر ستيلو لوميير,Sisley,288,0,0,0,إضاءة - خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,قلم - كريمي
ريميل احمر شفاة ثريل سيكر,Rimmel London,71,53.25,0,0,أحمر شفاه,Not Available,سائل
مجموعة فرش مكياج أسود منقط من بي اتش - 11 فرشاة,BH cosmetics,137,0,4.9,72,Not Available,Not Available,Not Available
مجموعة ظلال عيون نوتي نود من هدى بيوتي,HUDA BEAUTY,335,224.99,5,51,ظلال العيون,Not Available,بودرة
قلم كحل تحديد العين كاجال من ايسنس -  30 كلاسيك بلو,essence,10.35,8.80,5,79,محدد العين,Not Available,قلم - كريمي
نوت كوزمتيك هايلايتر سائل دروب,NOTE Cosmetique,55.03,41.27,0,0,إضاءة,جافة - حساسة - دهنية - طبيعية - مختلطة,سائل
قلم الحواجب المشطوف غوف بروف من بنفت - 04,Benefit,172.59,156.90,4.9,93,الحواجب - ضد الماء,Not Available,قلم - كريمي
ميبلين ليفتر قلوس ملمع شفاه قلوس مع هيالورونيك أسيد - 02 ايس,Maybelline,50,32.50,5,12,ملمع الشفاه,Not Available,سائل
داسيك تنت كريم دي روز,Dasique,55,0,0,0,Not Available,Not Available,Not Available
ريفلوشن سيراميد ليب سويرل قلوس ملمع شفاه - شفاف,Revolution,49,36.75,5,41,ملمع الشفاه,Not Available,سائل
توب فيس احمر شفاه روج انستايل مطفي - 011,Topface,46,13.80,5,66,أحمر شفاه,Not Available,كريمي
توب فيس بودرة الوجه انستايل - بنانا سمارت شايد,Topface,70,24.50,4.9,1457,Not Available,Not Available,بودرة - بودرة حرة
ميك اوفر22 بودرة جليتر لامع للعين - GL004,Make Over 22,30.49,15.24,4.9,46,إضاءة,Not Available,بودرة حرة
كالا ميك اب مسكارا إطالة للرموش - CM-033,CALLA Makeup,30,12,4.9,107,ماسكارا,Not Available,سائل
ريميل لندن ماسكرا سكاندل ايز فوليوم اون ديماند - اسود,Rimmel London,42,31.50,4.9,29,ماسكارا,Not Available,سائل
غارنيية ونيكس مجموعة الجمال المتكاملة - قطعتين,Garnier,112.99,79.10,0,0,Not Available,Not Available,سيروم
بودرة تسمير طبيعية من ريميل لندن - 002 Sunbronze,Rimmel London,36,27,4.9,16,تسمير - ضد الماء,Not Available,بودرة
كونسيلر خافي عيوب هيلثي ميكس كلين من برجوا,Bourjois,79.01,51.36,4.9,33,خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,كريمي
ميك اوفر22 قلوس ملمع ومكبر الشفاه سيجنتشر,Make Over 22,36.39,21.83,5,4,Not Available,Not Available,Not Available
بودرة أساس مضغوطة ويتلس بيرفكشن ويت & دراي من كيكو - N95,KIKO Milano,109,0,5,23,كريم أساس,دهنية - طبيعية,بودرة مضغوطة
ريفلوشن  فور ايفر فلوليس انكوديشنال لوف مجموعة ظلال العيون,Revolution,124,86.80,5,297,ظلال العيون,Not Available,بودرة
