name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
ميك اب فور ايفر مجموعة الوجه اتش دي سكن - هارموني 2,MAKE UP FOR EVER,365,200.75,5,114,أحمر خدود - إضاءة - خافي عيوب - كريم أساس - كنتور,Not Available,كريمي
ميساودا بلاشر احمر خدود ات فرست - 108 ساڤيج لوڤ,MESAUDA,87,69.60,5,30,أحمر خدود,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة
برايمر وسيروم بلمب رايت باك من نيكس - 30مل,NYX,90,0,5,15,برايمر,جافة - دهنية - طبيعية - مختلطة,جــل
كاتريس ماسكرا جل للحواجب كولور اند فكس برو,Catrice,18,15.30,5,1,ماسكارا,Not Available,Not Available
بيوتي كرييشنز قلوس رولر تيك مي باك,Beauty Creations,19,14.25,0,0,ملمع الشفاه,Not Available,سائل
كونسيلر خافي عيوب كونسيل برو من ال اي قيرل - GC993,LA Girl,23,20.70,5,12,خافي عيوب,Not Available,كريمي
قلم تحديد العين كحل من ريلوف - نود,Relove,14,10.50,4.9,226,محدد العين,Not Available,قلم - كريمي
قلم كحل رولار لاينر ميني من بنفت - أسود,Benefit,85.69,77.90,4.9,12,محدد العين,Not Available,سائل
توب فيس كحل جل كريمي انستايل - 004 ميد نايت بلو,Topface,56,20.90,4.8,11,محدد العين,Not Available,يحتوي على زيت الأرغان وزيت اللوز الحلو ليساعد على تقوية رموشك.
بودرة حواجب جوف بروف من بنفت - 3.5 نيوتشرال ميديم براون,Benefit,135,0,5,2,الحواجب,Not Available,بودرة
ميساودا بودرة تسمير مضغوطة برونز فينس - 102 هني قولد,MESAUDA,94,75.20,5,4,تسمير,Not Available,بودرة
غارنييه ماء ميسيلار لإزالة المكياج كلينسينج للبشرة الحساسة - 400مل,Garnier,39.90,19.95,5,3853,Not Available,جافة - حساسة - دهنية - طبيعية - مختلطة,سائل
مجموعة ظلال العيون كولور بلاي من ريلوف - امبور,Relove,21,15.75,5,94,ظلال العيون,Not Available,بودرة
مبراة أقلام مكياج صغيرة بشفرة مزدوجة من انجلوت,INGLOT,10,7.50,5,6,Not Available,Not Available,Not Available
ريفلوشن  فور ايفر فلوليس مجموعة ظلال العيون - نود سيلك,Revolution,109,76.30,5,105,ظلال العيون,Not Available,بودرة
ميك اوفر22 ماسكرا جل للحواجب - شفافة - BG001,Make Over 22,25.09,20.07,5,104,الحواجب - ماسكارا,Not Available,سائل
كالا ميك اب مجموعة بلاشر احمر الخدود  - CM-13,CALLA Makeup,180,54,5,95,أحمر خدود,Not Available,بودرة
